query_name,query_id,query_uri,severity,platform,cwe,cloud_provider,category,description_id,description,cis_description_id,cis_description_title,cis_description_text,file_name,similarity_id,line,issue_type,search_key,search_line,search_value,expected_value,actual_value
ALB Listening on HTTP,de7f5e83-da88-4046-871f-ea18504b1d43,https://registry.terraform.io/providers/hashicorp/aws/latest/docs/resources/lb_listener,HIGH,Terraform,,AWS,Networking and Firewall,47a8608d,AWS Application Load Balancer (alb) should not listen on HTTP,,,,../../path/terraform-up-and-running-code/code/terraform/03-terraform-state/file-layout-example/stage/services/webserver-cluster/main.tf,7553ae5c19c51711867f1287a59c4a0d834b86d16de99e165a8a3c60f6929918,75,MissingAttribute,aws_lb_listener[http].default_action,75,,'default_action.redirect.protocol' should be equal to 'HTTPS','default_action.redirect' is missing
ALB Listening on HTTP,de7f5e83-da88-4046-871f-ea18504b1d43,https://registry.terraform.io/providers/hashicorp/aws/latest/docs/resources/lb_listener,HIGH,Terraform,,AWS,Networking and Firewall,47a8608d,AWS Application Load Balancer (alb) should not listen on HTTP,,,,../../path/terraform-up-and-running-code/code/terraform/09-testing-terraform-code/modules/networking/alb/main.tf,619cacda120eab1a44611e6a3689d3678282429d6bab7623b1947c2c6eaee12c,25,MissingAttribute,aws_lb_listener[http].default_action,25,,'default_action.redirect.protocol' should be equal to 'HTTPS','default_action.redirect' is missing
ALB Listening on HTTP,de7f5e83-da88-4046-871f-ea18504b1d43,https://registry.terraform.io/providers/hashicorp/aws/latest/docs/resources/lb_listener,HIGH,Terraform,,AWS,Networking and Firewall,47a8608d,AWS Application Load Balancer (alb) should not listen on HTTP,,,,../../path/terraform-up-and-running-code/code/terraform/04-terraform-module/module-example/modules/services/webserver-cluster/main.tf,2a5f9edc653ee1cccee0eca6b6e8c2b9d345dc31ab5ff71cb979b5a126f506e5,74,MissingAttribute,aws_lb_listener[http].default_action,74,,'default_action.redirect.protocol' should be equal to 'HTTPS','default_action.redirect' is missing
ALB Listening on HTTP,de7f5e83-da88-4046-871f-ea18504b1d43,https://registry.terraform.io/providers/hashicorp/aws/latest/docs/resources/lb_listener,HIGH,Terraform,,AWS,Networking and Firewall,47a8608d,AWS Application Load Balancer (alb) should not listen on HTTP,,,,../../path/terraform-up-and-running-code/code/terraform/10-terraform-team/modules/networking/alb/main.tf,8bec4103be02f9c15029846fb715d243410c1957ea5a11ea083a4d7e182afdc8,25,MissingAttribute,aws_lb_listener[http].default_action,25,,'default_action.redirect.protocol' should be equal to 'HTTPS','default_action.redirect' is missing
ALB Listening on HTTP,de7f5e83-da88-4046-871f-ea18504b1d43,https://registry.terraform.io/providers/hashicorp/aws/latest/docs/resources/lb_listener,HIGH,Terraform,,AWS,Networking and Firewall,47a8608d,AWS Application Load Balancer (alb) should not listen on HTTP,,,,../../path/terraform-up-and-running-code/code/terraform/08-production-grade-infrastructure/small-modules/modules/networking/alb/main.tf,c16ed4675625c7557f67939196a119bd4a2e4455c62238f53fa70a60a9e5fe11,27,MissingAttribute,aws_lb_listener[http].default_action,27,,'default_action.redirect.protocol' should be equal to 'HTTPS','default_action.redirect' is missing
ALB Listening on HTTP,de7f5e83-da88-4046-871f-ea18504b1d43,https://registry.terraform.io/providers/hashicorp/aws/latest/docs/resources/lb_listener,HIGH,Terraform,,AWS,Networking and Firewall,47a8608d,AWS Application Load Balancer (alb) should not listen on HTTP,,,,../../path/terraform-up-and-running-code/code/terraform/05-tips-and-tricks/zero-downtime-deployment/modules/services/webserver-cluster-instance-refresh/main.tf,817e35e59ccd12ff928e697fe07ac3f2868759e13eb2b58a8afcb61b8ccce166,128,MissingAttribute,aws_lb_listener[http].default_action,128,,'default_action.redirect.protocol' should be equal to 'HTTPS','default_action.redirect' is missing
ALB Listening on HTTP,de7f5e83-da88-4046-871f-ea18504b1d43,https://registry.terraform.io/providers/hashicorp/aws/latest/docs/resources/lb_listener,HIGH,Terraform,,AWS,Networking and Firewall,47a8608d,AWS Application Load Balancer (alb) should not listen on HTTP,,,,../../path/terraform-up-and-running-code/code/terraform/02-intro-to-terraform-syntax/webserver-cluster/main.tf,d6bd61de12535b9ff99cb9fa4cad049451a877f9ccc7714d28c88aaf987bf7fa,87,MissingAttribute,aws_lb_listener[http].default_action,87,,'default_action.redirect.protocol' should be equal to 'HTTPS','default_action.redirect' is missing
ALB Listening on HTTP,de7f5e83-da88-4046-871f-ea18504b1d43,https://registry.terraform.io/providers/hashicorp/aws/latest/docs/resources/lb_listener,HIGH,Terraform,,AWS,Networking and Firewall,47a8608d,AWS Application Load Balancer (alb) should not listen on HTTP,,,,../../path/terraform-up-and-running-code/code/terraform/05-tips-and-tricks/loops-and-if-statements/modules/services/webserver-cluster/main.tf,eae6768e8cc10c73bf5057d0db5614e4b98a145560567ae856c76d3a9ff13f35,119,MissingAttribute,aws_lb_listener[http].default_action,119,,'default_action.redirect.protocol' should be equal to 'HTTPS','default_action.redirect' is missing
ALB Listening on HTTP,de7f5e83-da88-4046-871f-ea18504b1d43,https://registry.terraform.io/providers/hashicorp/aws/latest/docs/resources/lb_listener,HIGH,Terraform,,AWS,Networking and Firewall,47a8608d,AWS Application Load Balancer (alb) should not listen on HTTP,,,,../../path/terraform-up-and-running-code/code/terraform/05-tips-and-tricks/zero-downtime-deployment/modules/services/webserver-cluster/main.tf,7e90f15c523c724a6c8827c220432c8f219eac3b896f640c10c0cdeeb58c8332,134,MissingAttribute,aws_lb_listener[http].default_action,134,,'default_action.redirect.protocol' should be equal to 'HTTPS','default_action.redirect' is missing
CMK Rotation Disabled,22fbfeac-7b5a-421a-8a27-7a2178bb910b,https://registry.terraform.io/providers/hashicorp/aws/latest/docs/resources/kms_key#enable_key_rotation,HIGH,Terraform,,AWS,Observability,64cfa70f,"Customer Master Keys (CMK) must have rotation enabled, which means the attribute 'enable_key_rotation' must be set to 'true' when the key is enabled.",,,,../../path/terraform-up-and-running-code/code/terraform/06-managing-secrets-with-terraform/kms-cmk/main.tf,44219133e58110d7ea760587da8980174f1b8e4eebd8b657d17e3a477a0dad9d,17,MissingAttribute,aws_kms_key[cmk],-1,,aws_kms_key[cmk].enable_key_rotation should be set to true,aws_kms_key[cmk].enable_key_rotation is undefined
